Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
93,https://www.pepper.pl/promocje/zestaw-mebli-ogrodowych-684236,Gotowy zestaw mebli ogrodowych GoodHome Hamilton 5-osobowy,"['Home', 'Ogród i majsterkowanie', 'Ogród', 'Meble ogrodowe']",391,7,1.998zł,3.998zł,-50%,Castorama
94,https://www.pepper.pl/promocje/klocki-cada-race-car-mazda-fc35-rx-7-684298,klocki CADA Race Car Mazda FC35 RX-7,"['Home', 'Rodzina i dzieci', 'Zabawki', 'Klocki']",455,19,"33,75zł",45zł,-25%,place_of_bargain_price_not_available
95,https://www.pepper.pl/promocje/xiaomi-poco-f5-12256-czarny-684276,Smartfon Xiaomi POCO F5 12/256 czarny,"['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony', 'Smartfony Xiaomi', 'POCO F5']",428,119,"1.900,28zł",1.999zł,-5%,Allegro
96,https://www.pepper.pl/promocje/urzadzenie-wielofunkcyjne-brother-dcp-t525w-drukarka-skaner-xero-759-zl-w-opcji-1rata-gratis-684321,Urządzenie wielofunkcyjne BROTHER DCP-T525W drukarka skaner xero (759 zł w opcji 1.rata gratis),"['Home', 'Elektronika', 'Komputery i tablety', 'Drukarki']",725,58,799zł,-1,-1,Media Expert
97,https://www.pepper.pl/promocje/smartfon-motorola-moto-g32-4-gb128-gb-satin-silver-at-allegro-684283,Smartfon Motorola Moto G32 4 GB/128 GB Satin Silver @allegro,"['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony']",405,38,599zł,679zł,-12%,Allegro
98,https://www.pepper.pl/promocje/darmowe-sample-evanant-ultimate-free-sample-pack-12gb-683882,Darmowe Sample - Evenant - Ultimate Free Sample Pack (1.2gb),"['Home', 'Elektronika', 'Oprogramowanie i aplikacje', 'Oprogramowanie', 'Aplikacje', 'Aplikacje do tworzenia muzyki']",350,10,-1,-1,-1,place_of_bargain_price_not_available
99,https://www.pepper.pl/promocje/3-sztuki-koszulka-t-shirt-4f-na-lato-wiosna-bawelniana-bluzka-z-krotkim-rekawem-684221,3 sztuki Koszulka T-shirt 4F na lato wiosna bawełniana bluzka z krótkim rękawem,"['Home', 'Moda', 'Odzież', 'Koszulki']",471,55,79zł,129zł,-39%,Allegro
100,https://www.pepper.pl/promocje/plyn-do-wc-domestos-original-1-litr-684149,Płyn do WC Domestos Original 1 litr,"['Home', 'Artykuły spożywcze', 'Utrzymanie czystości']",423,7,"6,99zł","11,90zł",-41%,Stokrotka
101,https://www.pepper.pl/promocje/gogle-sony-playstation-vr2-at-allegro-683920,Gogle Sony PlayStation VR2 @ Allegro,"['Home', 'Gaming', 'Akcesoria dla graczy', 'Okulary VR', 'PlayStation VR2']",347,36,"2.754,05zł",-1,-1,Allegro
102,https://www.pepper.pl/promocje/duronic-gp20-elektryczny-grillpatelnia-teppanyaki-2000w-mozliwe-126-zl-kupon-na-dodatkowe-10-683879,"Duronic GP20 Elektryczny grill/patelnia teppanyaki 2000W, możliwe 126 zł (kupon na dodatkowe 10%)","['Home', 'Dom i mieszkanie', 'Przybory kuchenne', 'Naczynia do gotowania', 'Patelnie']",298,32,126zł,214zł,-41%,Amazon.pl
103,https://www.pepper.pl/promocje/amd-ryzen-9-7900x3d-519-euro-z-de-mozliwa-darmowa-dostawa-w-de-transport-do-polski-przez-posrednika-684051,"AMD Ryzen 9 7900X3D 519 Euro z DE, + możliwa darmowa dostawa w DE + transport do Polski przez pośrednika","['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'Procesory', 'Procesory AMD']",335,29,2.335zł,2.773zł,-16%,Mindfactory
104,https://www.pepper.pl/promocje/zestaw-do-odpowietrzania-hamulcow-rowerowych-684129,Zestaw EZmtb do odpowietrzania hamulców rowerowych | $8.42,"['Home', 'Sport i turystyka', 'Sporty rowerowe i miejskie', 'Sporty rowerowe', 'Akcesoria rowerowe']",530,54,"36,76zł",60zł,-39%,AliExpress
105,https://www.pepper.pl/promocje/spiwor-campus-kjerag-250-684153,Śpiwór Campus Kjerag 250,"['Home', 'Sport i turystyka', 'Camping']",256,27,"139,49zł","179,99zł",-23%,Sportano
106,https://www.pepper.pl/promocje/songmics-pudelko-na-zegarki-szkatulka-na-zegarki-684125,Songmics: Pudełko na zegarki / Szkatułka na zegarki - Amazon Prime,"['Home', 'Moda', 'Akcesoria modowe', 'Zegarki']",390,27,"67,49zł",-1,-1,Amazon.pl
107,https://www.pepper.pl/promocje/finish-112-tabletek-41-groszy-za-sztuke-683938,Finish 112 tabletek 41 groszy za sztukę,"['Home', 'Artykuły spożywcze', 'Utrzymanie czystości', 'Tabletki do zmywarki']",315,13,"45,99zł",-1,-1,Allegro
108,https://www.pepper.pl/promocje/hub-usb-c-zeskris-5-portow-ultracienki-koncentrator-danych-typu-c-z-1-usb-30-2-usb-20-tfsdmicrosd-684135,"Hub USB C, ZESKRIS 5 portów, ultracienki koncentrator danych typu C z 1 USB 3.0, 2 USB 2.0, TF/SD/MicroSD","['Home', 'Elektronika', 'Komputery i tablety', 'Akcesoria i gadżety', 'Adaptery i przejściówki', 'Huby USB']",357,24,"27,51zł",-1,-1,Amazon.pl
109,https://www.pepper.pl/promocje/papier-toaletowy-familia-3-warstwowy-40-sztopak-075-zlszt-at-kaufland-683890,"Papier toaletowy Familia 3-warstwowy 40 szt./opak. (0,75 zł/szt.) @Kaufland","['Home', 'Zdrowie i uroda', 'Higiena i pielęgnacja']",356,2,"29,99zł",-1,-1,Kaufland
110,https://www.pepper.pl/promocje/dysk-ssd-lexar-nm610pro-2tb-m2-2280-pcie-gen3x4-nvme-14-odczyt-do-3300-mbs-zapis-2600-mb-8081eur-amazon-684260,"Dysk SSD Lexar NM610PRO 2TB M.2 2280 PCIe Gen3x4 NVMe 1.4, odczyt do 3300 MB/s, zapis 2600 MB/ | 80,81€ | Amazon","['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'SSD']",415,15,"361,25zł",-1,-1,Amazon.fr
111,https://www.pepper.pl/promocje/bokserki-cr7-5-szt-cristiano-ronaldo-majtki-684100,Bokserki CR7 5 szt. Cristiano Ronaldo majtki,"['Home', 'Moda', 'Odzież', 'Bielizna', 'Bokserki']",546,46,"109,99zł",-1,-1,Amazon.pl
112,https://www.pepper.pl/promocje/grill-gazowy-trzypalnikowy-684243,Grill gazowy trzypalnikowy GoodHome Owsley 3.0,"['Home', 'Ogród i majsterkowanie', 'Ogród', 'Grill', 'Grille gazowe']",483,41,998zł,1.998zł,-50%,Castorama
113,https://www.pepper.pl/promocje/loreal-men-expert-ultimate-6x-50-ml-684224,L'Oréal Men Expert Ultimate 6x 50 ml @ Amazon,"['Home', 'Zdrowie i uroda']",572,55,"55,40zł",72zł,-23%,Amazon.pl
114,https://www.pepper.pl/promocje/zenacolor-120-cienkopisow-04-mm-z-cienka-koncowka-do-pisania-i-rysowania-dla-artystow-flamastry-doskonale-do-malowania-szkicowania-683913,"Zenacolor 120 cienkopisów – 0,4 mm z cienką końcówką – do pisania i rysowania dla artystów, flamastry, doskonałe do malowania, szkicowania","['Home', 'Dom i mieszkanie', 'Artykuły biurowe']",386,7,"79,90zł","119,90zł",-33%,Amazon.pl
115,https://www.pepper.pl/promocje/papier-ksero-do-drukarki-polspeed-a4-500-arkuszy-684261,Papier ksero do drukarki POLSPEED A4 500 arkuszy,"['Home', 'Dom i mieszkanie', 'Artykuły biurowe']",713,4,"17,29zł",-1,-1,Allegro
116,https://www.pepper.pl/promocje/polskie-ogorki-zielone-1kg-at-lidl-684264,Polskie ogórki zielone 1kg @Lidl,"['Home', 'Artykuły spożywcze', 'Jedzenie', 'Owoce i warzywa', 'Warzywa']",613,5,"3,99zł","7,99zł",-50%,Lidl
117,https://www.pepper.pl/promocje/allegro-days-saturator-sodastream-terra-4-butelki-bolero-684253,Allegro Days: Saturator SodaStream Terra + 4 butelki + bolero,"['Home', 'Dom i mieszkanie', 'Małe AGD do kuchni']",768,82,"269,99zł",330zł,-18%,Allegro
118,https://www.pepper.pl/promocje/anker-soundcore-przenosny-glosnik-bluetooth-684220,"Anker SoundCore Przenośny Głośnik Bluetooth, cena dla Prime","['Home', 'Elektronika', 'Audio i HiFi', 'Głośniki']",605,23,119zł,-1,-1,Amazon.pl
119,https://www.pepper.pl/promocje/rower-mtb-r-raymon-hardray-40-nin-684265,Rower MTB R-RAYMON HardRay 4.0 Nin,"['Home', 'Sport i turystyka', 'Sporty rowerowe i miejskie', 'Sporty rowerowe', 'Rowery']",2158,282,2.899zł,4.290zł,-32%,Centrum Rowerowe
