Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
22,https://www.pepper.pl/promocje/thrustmaster-t300-rs-gt-edition-pcps3ps4ps5-684418,Thrustmaster T300 RS GT EDITION PC/PS3/PS4/PS5,"['Home', 'Gaming', 'Konsole', 'PS5']",229,13,1.499zł,-1,-1,x-kom
23,https://www.pepper.pl/promocje/rise-of-the-tomb-raider-20th-year-celebration-edition-turkey-vpn-at-xbox-one-xbox-series-677423,Rise of the Tomb Raider 20th Year Celebration Edition Turkey VPN @ Xbox One / Xbox Series,"['Home', 'Gaming', 'Gry wideo', 'Tomb Raider']",291,48,"9,08zł",-1,-1,Gamivo
24,https://www.pepper.pl/promocje/allegro-days-28x-gaz-do-kuchenki-gazowej-kartusz-gazowy-alpen-camping-400-ml-palnik-684525,"Allegro Days: 28x gaz do kuchenki gazowej, kartusz gazowy Alpen Camping 400 ml + palnik","['Home', 'Sport i turystyka', 'Outdoor i camping']",350,39,118zł,"166,90zł",-29%,Allegro
25,https://www.pepper.pl/promocje/google-pixel-7-opaska-google-fitbit-charge-5-amazonde-2434-zl-z-przesylka-684567,Google Pixel 7 + opaska Google Fitbit Charge 5 (Amazon.de) - 2436 zł z przesyłką,"['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony', 'Smartfony Google']",293,42,2.409zł,2.700zł,-11%,Amazon.de
26,https://www.pepper.pl/promocje/gra-planszowa-letnia-wyprzedaz-u-ldg-683406,gra planszowa Letnia wyprzedaż u LDG,"['Home', 'Rodzina i dzieci', 'Zabawki', 'Gry i gry planszowe', 'Planszówki']",300,12,"59,99zł",-1,-1,place_of_bargain_price_not_available
27,https://www.pepper.pl/promocje/rower-elektryczny-duotts-c29-48v-mtb-niebieski-684093,Rower elektryczny DUOTTS C29 48V 750W MTB niebieski.,"['Home', 'Sport i turystyka', 'Sporty rowerowe i miejskie', 'Sporty rowerowe', 'Rowery']",300,68,3.254zł,-1,-1,Allegro
28,https://www.pepper.pl/promocje/lezak-turystyczny-skladany-allegro-days-684405,LEŻAK TURYSTYCZNY SKŁADANY ALLEGRO DAYS,"['Home', 'Ogród i majsterkowanie']",346,34,35zł,40zł,-13%,Allegro
29,https://www.pepper.pl/promocje/columbia-klamath-range-half-zip-bluza-z-polaru-684453,Columbia KLAMATH RANGE HALF ZIP - Bluza z polaru,"['Home', 'Moda', 'Odzież', 'Swetry', 'Bluzy']",337,20,75zł,-1,-1,Zalando
30,https://www.pepper.pl/promocje/piwo-ciemne-czeskie-konrad-44-dino-684540,"Piwo ciemne, czeskie Konrad 4,4%. Dino","['Home', 'Artykuły spożywcze', 'Napoje', 'Piwo']",479,14,"2,99zł","4,49zł",-33%,Dino
31,https://www.pepper.pl/promocje/podnosnik-zaba-lewarek-2-tony-redats-ls-320-at-allegro-684483,Podnośnik Żaba Lewarek 2 Tony REDATS LS-320 @ Allegro,"['Home', 'Motoryzacja', 'Akcesoria samochodowe']",440,38,"78,40zł",105zł,-25%,Allegro
