category,comments,hotness,link,percentage_change_in_price,place_of_bargain_price,price_after_discount,price_before_discount,title,username
"Home,Moda,Obuwie,Obuwie męskie",11,317,,-36%,Zalando,252zł,"393,29zł",Skórzane buty męskie buty Timberland ADV 2.0 CUPSOLE MODERN - r. 40 - 43 i 45 (czarne za 270 zł),
"Home,Moda,Akcesoria modowe,Bagaż,Plecaki",20,254,,-24%,Zalando,274zł,359zł,The North Face BOREALIS UNISEX - Plecak (zalando),
"Home,Sport i turystyka,Sporty rowerowe i miejskie,Sporty rowerowe,Rowery",63,240,,-1,AliExpress,"80,84zł",-1,"ROCKBROS R3100 klon / NATFIRE Ciekawy set lampkowy na rower: USB-C , powerbank, ładowanie podczas jazdy , 1000lm z odcięciem, P+T",
"Home,Gaming,Xbox",28,196,,-5%,Microsoft,"255,20zł","269,66zł",Pad Microsoft Xbox Series z adapterem bezprzewodowym,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Karty graficzne,Radeon RX 6700 XT",23,201,,-1,Proshop,1.679zł,-1,PowerColor Radeon RX 6700 XT Fighter - 12GB GDDR6 RAM - Karta graficzna plus gra Resident Evil 4,
"Home,Dom i mieszkanie,Przybory kuchenne",16,214,,-28%,Amazon.pl,"85,49zł",119zł,Zestaw 12 pojemników o pojemności 2 litrów BPA free Chef's Path,
"Home,Elektronika",25,202,,-1,AliExpress,-1,-1,Letnia Wyprzedaż na AliExpress ze zniżką 4/30$,
"Home,Artykuły spożywcze,Jedzenie,Produkty mięsne",20,292,,-65%,Lidl,"9,99zł","28,49zł",Karkówka w marynacie 1kg różne rodzaje @Lidl,
"Home,Elektronika,Komputery i tablety,Laptopy",20,215,,-14%,TechLord,1.899zł,2.199zł,"Laptop Acer Aspire 3 A315-24P (15,6"" FullHD, R5-7520U, 16GB, 512GB, bez systemu) @ TechLord",
"Home,Sport i turystyka,Outdoor i camping,Wędkarstwo",20,311,,-1,place_of_bargain_price_not_available,-1,-1,Promocja na kołowrotki Prologic 1+1 Gratis / Savage Gear 1+1 Gratis,
"Home,Rodzina i dzieci,Zabawki,Gry i gry planszowe,Planszówki",26,653,,-16%,Amazon.pl,"355,77zł",426zł,Gra planszowa Nemesis PL,
"Home,Artykuły spożywcze,Jedzenie,Produkty mięsne",20,256,,-25%,Allegro,"2,99zł","3,99zł",Zupka makaron ramen ostry kurczak 145g STEW,
"Home,Dom i mieszkanie",43,815,,-1,Action,"8,55zł",-1,Elektryczna łapka na owady - sklep ACTION,
"Home,Za darmo",15,510,,-1,place_of_bargain_price_not_available,-1,-1,Darmowe półkolonie dla 108 dzieci z gminy Białe Błota,
"Home,Zdrowie i uroda,Erotyka,Prezerwatywy",20,253,,-10%,Allegro,"47,01zł","52,24zł",Prezerwatywy SKYN Unknown Pleasures Limited Edition 42 szt. @allegro,
"Home,Za darmo",7,338,,-1,place_of_bargain_price_not_available,-1,-1,Wakacyjne udogodnienia dla gości i mieszkańców Sopotu – bezpłatne parkingi i tani transport,
"Home,Elektronika,Akcesoria komputerowe",22,313,,-37%,Amazon.pl,"87,29zł","139,57zł","Usoun Stojak pod laptopa, regulowana podstawka pod notebooka, ergonomiczny stojak na biurko, regulowany, kompatybilny z laptopami 10-17""",
"Home,Za darmo",10,545,,-1,place_of_bargain_price_not_available,-1,-1,Adoptuj Warszawiaka w Parku Moczydło + darmowe czipowanie zwierząt,
"Home,Za darmo",7,205,,-1,place_of_bargain_price_not_available,-1,-1,"Native Instruments, Kontakt: IRLANDZKA HARFA vst za free!",
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Obudowy komputerowe",32,418,,-20%,ProLine,299zł,372zł,Obudowa be quiet! Pure Base 500 BG034,
"Home,Moda,Obuwie",20,491,,-1,eobuwie,-1,-1,-20% dodatkowo na buty ASICS z kuponem TANIEJ20 @ eobuwie.pl,
"Home,Artykuły spożywcze,Napoje,Piwo",29,538,,-1,Dino,"1,75zł",-1,"Piwo Browarne Pils 0,5l - przy zakupie 20 sztuk dodatkowo Zamkowe po 2,19",
"Home,Internet i usługi telekomunikacyjne,Oferty komórkowe",20,271,,-1,Orange,-1,-1,Orange na kartę - 20GB za darmo na 20 dni,
"Home,Podróże,Loty,Linie lotnicze",21,207,,-1,Rainbow,299zł,-1,Lot czarterowy na Kretę - Heraklion z Poznania za 299 zł,
"Home,Artykuły spożywcze,Napoje,Alkohole,Wina",7,496,,-1,Delikatesy Centrum,-1,-1,Delikatesy Centrum: 3+2 wina za 2 zł (z Delikartą),
"Home,Moda,Odzież,Koszulki",19,293,,-1,Zalando,37zł,-1,Koszulki YOURTURN - 2 PACK UNISEX,
"Home,Elektronika,Telefony i smartfony,Smartfony",20,309,,-40%,Empik,43zł,72zł,Etui Spigen do Pixel 6 i 6 pro,
"Home,Elektronika,Komputery i tablety,Akcesoria i gadżety,Ładowarki",18,204,,-1,Amazon.pl,"117,74zł",-1,"Baseus Szybka ładowarka USB C 65 W, PD GaN3 Fast Wall Block, 4-portowa [2USB-C + 2USB] i inne",
"Home,Ogród i majsterkowanie,Ogród",38,220,,-1,Einhell,169zł,-1,"PODKASZARKA Einhell GC-CT 18/24 Li P (2,5Ah ZS)",
"Home,Różne,Supermarket",9,514,,-1,ALDI,-1,-1,Otwarcie Aldi Płońsk - bon o wartości 100zł za wydane 100zł,
"Home,Dom i mieszkanie,Małe AGD do kuchni,Czajniki",21,228,,-40%,Allegro,119zł,199zł,Czajnik elektryczny retro Berdsen,
"Home,Moda,Akcesoria modowe,Zegarki",19,226,,-8%,Allegro,"961,28zł",1.049zł,Zegarek Casio G-Shock GW-9400-1ER,
"Home,Elektronika,Philips",46,437,,-24%,TechLord,"149,25zł",196zł,Listwa przeciwprzepięciowa Philips SPN7060WA/60 2m biała - 6 gniazd 4x USB-A 1x USB-C @ Techlord,
"Home,Różne,Cashback",26,206,,-1,place_of_bargain_price_not_available,438zł,-1,NordVPN 27 miesięcy za darmo (cashback 100%),
"Home,Dom i mieszkanie,Meble",24,191,,-38%,Allegro,599zł,"959,40zł",Łóżko podwójne AJKmeble Panama 140x200 biały,
"Home,Artykuły spożywcze,Napoje,Piwo",22,211,,-1,Biedronka,-1,-1,Piwo Carlsberg w Biedronce 10+10 gratis z kartą MB,
"Home,Sport i turystyka",20,295,,-1,Amazon.pl,"71,97zł",-1,Garnek piknikowy- zestaw,
"Home,Kultura i rozrywka,Książki i czasopisma,Książki,Audiobooki",31,277,,-1,BookBeat,-1,-1,50 dni z audiobookami za darmo,
"Home,Gaming,Gry wideo,Red Dead Redemption,Red Dead Redemption 2",96,1174,,-79%,PSN Store,"5,10zł","24,80zł","Zbiór okazji w Tureckim i Polskim PS Store (24.05 - 07.06) - A Way Out, Metro, Red Dead Redemption 2, DOOM, Unravel, LEGO... [PS4, PS5]",
"Home,Sport i turystyka,Sporty rowerowe i miejskie,Sporty rowerowe,Rowery",38,381,,-33%,Centrum Rowerowe,1.999zł,2.990zł,Rower MTB R-RAYMON HardRay Nine 2.0,
"Home,Ogród i majsterkowanie,Ogród,Baseny",11,202,,-40%,Allegro,"189,99zł",319zł,Allegro Days: Basen stelażowy Bestway Safari 305x66cm,
"Home,Usługi i subskrypcje,Szkolenia i kursy",17,564,,-1,place_of_bargain_price_not_available,-1,-1,Bezpłatny webinar/szkolenie on-line: Agresja lękowa - jak pomóc psu rozwiązać ten problem?,
"Home,Zdrowie i uroda,Higiena i pielęgnacja,Higiena jamy ustnej,Szczoteczki",31,255,,-19%,Allegro,"59,99zł","73,99zł",Szczoteczka soniczna Berdsen Sonica B5 + dwie końcówki,
"Home,Różne,Supermarket",20,308,,-1,Biedronka,"0,99zł",-1,Wyprzedaż wybranych słodyczy wielkanocnych Magnetic np Jajka czekoladowe w Torbie 176g za 1.99zł@ Biedronka,
"Home,Gaming,Xbox",15,286,,-1,Game Expert,99zł,-1,KONTROLER NOŻNY 3DRUDDER PLAYSTATION VR/Xbox/PC,
"Home,Zdrowie i uroda,Erotyka,Zabawki erotyczne",136,211,,-1,AliExpress,"224,99zł",-1,Męski masturbator ładowany przez USB,
"Home,Ogród i majsterkowanie,Narzędzia",21,234,,-32%,Allegro,299zł,440zł,Zestaw kluczy nasadowych Yato YT-38841 216 elementów,
"Home,Elektronika,Audio i HiFi,Słuchawki",24,199,,-1,AliExpress,"381,77zł",-1,"Słuchawki planarne Hifiman HE400se $87.3 (381,77 zł)",
"Home,Podróże,Bilety kolejowe i autobusowe",1,382,,-1,place_of_bargain_price_not_available,ZA DARMO,"3,80zł",Świnoujście – Bądźmy razem – bezpłatny przejazd autobusami na trasie Dworzec PKP – plaża przy podziemnym mieście,
"Home,Gaming,Xbox",122,1304,,-1,Eneba,"131,49zł",-1,12 miesięcy Xbox Live Gold (bez VPN! konwersja na Game Pass Ultimate) @ Eneba,
"Home,Elektronika,Oprogramowanie i aplikacje,Oprogramowanie,Aplikacje,Aplikacje do tworzenia muzyki",5,208,,-1,Ghosthack.de,-1,-1,Darmowe Sample - Ghosthack - Ultimate Freebie Collection (1.95gb),
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Procesory,Procesory AMD",28,340,,-14%,Amazon.es,781zł,913zł,"Procesor AMD Ryzen 5800X z Hiszpańskiego Amazona za 169.99 Euro plus wysyłka 4,17€",
"Home,Elektronika,Telefony i smartfony,Smartfony",65,368,,-1,Allegro,"1.880,78zł",-1,Smartfon Xiaomi Pocophone F5 12 GB / 256 GB czarny,
"Home,Różne,Supermarket",17,958,,-40%,Lidl,"2,99zł","4,99zł","Serek wiejski naturalny/lekki - 2,99 zł/op. 500g (5,98 zł/kg) @Lidl",
"Home,Moda,Obuwie",21,869,,-1,Decathlon,-1,-1,Bezplatna dostawa bez mwz Decathlon,
"Home,Elektronika,TV i wideo,TV,Telewizory Philips",20,207,,-8%,x-kom,1.799zł,1.949zł,"Telewizor PHILIPS 50PUS7956 (Ambilight, 4k, Android TV)",
"Home,Moda,Akcesoria modowe,Bagaż,Plecaki",15,290,,-33%,Decathlon,"199,99zł","299,99zł",Plecak trekkingowy Forclaz Travel 100 - 60 litrów @Decathlon,
"Home,Rodzina i dzieci,Pielęgnacja dzieci",19,273,,-24%,PINKorBLUE,"276,21zł","364,08zł",Krzesełko do karmienia Roba Sit Up Flex za 276zł (sześć kolorów) @ Pink or Blue,
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Owoce",12,541,,-43%,Biedronka,"3,99zł","6,99zł",Banany kg @Biedronka,
